Year,Day,Number,Medley,Track name,Artist name,
2008,1,1,1,恋せよ女の子,水樹奈々/田村ゆかり,
2008,1,1,2,アノネ～まみむめ☆もがちょ,水樹奈々/田村ゆかり,
2008,1,2,1,童話迷宮,田村ゆかり,
2008,1,3,1,バンビーノ・バンビーナ,田村ゆかり,
2008,1,4,1,めろ～んのテーマ～ゆかり王国国歌,田村ゆかり,
2008,1,5,1,STRIKE WITCHES～わたしにできること～,石田燿子,
2008,1,6,1,永遠の花,石田燿子,
2008,1,7,1,サクラサクミライコイユメ,yozuca*,
2008,1,8,1,Morning - sugar rays,yozuca*,
2008,1,9,1,センチメンタル,CooRie,
2008,1,10,1,存在,CooRie,
2008,1,11,1,DIVE INTO STREAM,m.o.v.e,
2008,1,12,1,Gamble Rumble,m.o.v.e,
2008,1,13,1,ZERO,AAA,
2008,1,14,1,Climax Jump,AAA,
2008,1,15,1,Over The Future,可憐Gir'ls,
2008,1,16,1,nowhere,savage genius/茅原実里/yozuca*,
2008,1,17,1,JUST TUNE,savage genius,
2008,1,18,1,想いを奏でて,savage genius,
2008,1,19,1,創聖のアクエリオン,AKINO from bless4,
2008,1,20,1,Go Tight！,AKINO from bless4,
2008,1,21,1,慟哭ノ雨,GRANRODEO,
2008,1,22,1,ケンゼンな本能,GRANRODEO,
2008,1,23,1,Love Jump,栗林みな実,
2008,1,24,1,Next Season,栗林みな実,
2008,1,25,1,Shining☆Days,栗林みな実,
2008,1,26,1,haunting Melody,Suara,
2008,1,27,1,星座,Suara,
2008,1,28,1,詩人の旅 from Contact,茅原実里,
2008,1,29,1,雨上がりの花よ咲け,茅原実里,
2008,1,30,1,雪、無音、窓辺にて。,茅原実里,
2008,1,31,1,輪舞-revolution,奥井雅美/茅原実里,
2008,1,32,1,INSANITY,奥井雅美,
2008,1,33,1,コトダマ,ALI PROJECT,
2008,1,34,1,愛と誠,ALI PROJECT,
2008,1,35,1,わが﨟たし悪の華,ALI PROJECT,
2008,1,36,1,残光のガイア,水樹奈々,
2008,1,37,1,Dancing in the velvet moon,水樹奈々,
2008,1,38,1,Pray,水樹奈々,
2008,1,39,1,ETERNAL BLAZE,水樹奈々/宝野アリカ,
2008,1,40,1,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト,
2008,1,41,1,Generation-A,アニサマ2008出演アーティスト,
2008,1,42,1,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト,