01,Preserved Roses,藍井エイル×蒼井翔太
02,スタートダッシュ,スピラ・スピカ
03,イヤヨイヤヨモスキノウチ！,スピラ・スピカ
04,TOKIMEKI Runners,虹ヶ咲学園スクールアイドル同好会
05,ボン♡キュッ♡ボンは彼のモノ♡,上坂すみれ
06,last sparkle,上坂すみれ
07,SHIORI～CheerS,ClariS
08,secret base ～君がくれたもの～,ClariS
09,コノユビトマレ,JUNNA
10,イルイミ,JUNNA
11,Believe in Sky,今井麻美
12,遠い音楽,今井麻美
13,Speechless,内田雄馬
14,Hands,OxTx内田雄馬
15,鼓動エスカレーション,内田真礼
16,youthful beautiful,内田真礼
17,魔女になりたい姫と姫になりたい魔女のラプソディー,内田真礼 feat. 上坂すみれ
18,BRAVER,ZAQ
19,ソラノネ,ZAQ
20,buzz★Parade～心絵,buzz★Vibes
21,EZ DO DANCE～buzz★Parade,buzz★Vibes feat. MOTSU
22,Don't say “lazy”,放課後ティータイム
23,GO! GO! MANIAC,放課後ティータイム
24,Tread on the Tiger's Tail,JAM Project
25,静寂のアポストル,JAM Project
26,HERO,JAM Project
27,SKILL,JAM Project with アニサマフレンズ
28,ハム太郎とっとこうた,小倉 唯×内田真礼
29,ハイタッチ☆メモリー,小倉 唯
30,Raise,小倉 唯
31,ROAR,黒崎真音
32,幻想の輪舞,黒崎真音
33,Tone,蒼井翔太
34,UNLIMITED,蒼井翔太
35,Clattanoia,OxT
36,ゴールデンアフタースクール,OxT
37,UNION,OxTxSSSS.GRIDMAN
38,ティアドロップス,Poppin’Party feat.アニサマバンド
39,STAR BEAT!～ホシノコドウ～,Poppin’Party
40,キズナミュージック♪,Poppin’Party
41,シリウス,藍井エイル
42,INNOCENCE,藍井エイル
43,月を追う真夜中,藍井エイル
44,IGNITE,藍井エイル
45,CROSSING STORIES,アニサマ2019出演アーティスト
01,Paradise Lost,茅原実里×TRUE
02,純白サンクチュアリィ,茅原実里
03,TERMINATED,茅原実里
04,not GAME,畠中 祐
05,カサブタ,畠中 祐
06,FEELING AROUND,鈴木みのり
07,ダメハダメ,鈴木みのり
08,Nameless Story,寺島拓篤
09,"Buddy, steady, go!",寺島拓篤&ウルトラマンタイガ
10,UNSTOPPABLE,RAISE A SUILEN
11,せかいのっびのびトレジャー！,弦巻こころ&ミッシェル＋RAISE A SUILEN
12,ゼロセンチメートル,大原ゆい子
13,気まぐれロマンティック,高木さん feat. 大原ゆい子
14,Next Season,栗林みな実
15,Crystal Energy,栗林みな実
16,輪舞-revolution,奥井雅美×栗林みな実
17,DRIVE A LIVE,アイドルマスター SideM
18,LET'S GO!!～RAY OF LIGHT～Legacy of Spirit,アイドルマスター SideM
19,PRIDE STAR,アイドルマスター SideM
20,約束タワー～舞台少女心得,スタァライト九九組
21,THE GALAXY EXPRESS 999,スタァライト99組
22,Star Divine,スタァライト九九組
23,この世の果てで恋を唄う少女,亜咲花
24,SHINY DAYS,亜咲花
25,Get Wild,亜咲花×鈴木みのり
26,ダイスキ。,大橋彩香
27,ワガママMIRROR HEART,橋彩香
28,Another colony,TRUE
29,Blast!,RUE
30,DREAM SOLISTER,TRUE×北宇治カルテット
31,トゥッティ！,北宇治カルテット
32,Violet Snow,結城アイラ
33,エイミー,茅原実里
34,Wonder Caravan！,水瀬いのり
35,Ready Steady Go!,水瀬いのり
36,TRUST IN ETERNITY,水瀬いのり
37,THE BEYOND,angela
38,全力☆Shangri-La～全力☆シドニア（全力☆Summer!～Shangri-La～全力☆Summer!～シドニア）,angela
39,SURVIVE!,angela
40,High Free Spirits!,TrySail
41,Sunset カンフー,TrySail
42,adrenaline!!!,TrySail
43,僕らの走ってきた道は…,Aqours
44,青空Jumping Heart,Aqours
45,想いよひとつになれ,Aqours
46,勇気はどこに？君の胸に！,Aqours
47,CROSSING STORIES,アニサマ2019出演アーティスト
01,ようこそジャパリパークへ,けものフレンズ×i☆RiSphere
02,乗ってけ！ジャパリビート～け・も・の・だ・も・の,けものフレンズ with オーイシマサヨシ
03,Shocking Blue,伊藤美来
04,閃きハートビート,伊藤美来 feat. 佐藤純一(fhána)
05,Ray Rule,石原夏織
06,TEMPEST,石原夏織
07,Grand symphony,佐咲紗花
08,あんこう音頭～High-Flying Future!!,佐咲紗花
09,Enter Enter MISSION！,佐咲紗花×渕上 舞
10,BLACK CAT,渕上 舞
11,Lost Princess,アニメロサマープリンセス from プリンセスコネクト！Re:Dive
12,Connecting Happy!!,アニメロサマープリンセス from プリンセスコネクト！Re:Dive
13,限界突破×サバイバー,氷川きよし
14,TOUGH BOY,氷川きよし
15,TRY UNITE!,中島 愛×石原夏織
16,ORDINARY LOVE,逢田梨香子
17,蒼い鳥（M@STER VERSION),如月千早 feat. ピアニート公爵
18,グローリー！,三森すずこ×オーイシマサヨシ
19,ファッとして桃源郷,三森すずこ×石原夏織
20,ドキドキトキドキトキメキス♡,芹澤優♡→三森すずこ←♡大坪由佳
21,ユニバーページ,三森すずこ×渕上 舞
22,会いたいよ...会いたいよ！,三森すずこ
23,楽園都市,オーイシマサヨシ
24,オトモダチフィルム,オーイシマサヨシ×オーハシアヤカ
25,forget-me-not,ReoNa
26,虹の彼方に,ReoNa
27,幻想曲WONDERLAND,i☆Ris
28,Endless Notes,i☆Ris
29,アルティメット☆MAGIC,i☆Ris
30,ワタシノセカイ,中島 愛
31,Bitter Sweet Harmony,中島 愛
32,ラブ・ドラマティック,鈴木雅之 feat. スフィア
33,違う、そうじゃない～め組のひと,鈴木雅之 feat. スフィア
34,LOUDER～BLACK SHOUT,Roselia
35,BRAVE JEWEL,Roselia
36,This game,Roselia feat. Konomi Suzuki
37,真理の鏡、剣乃ように,鈴木このみ
38,蒼の彼方,鈴木このみ
39,DAYS of DASH,鈴木このみ
40,divine intervention,fhána
41,青空のラプソディ,fhána with あにさまフレンズ
42,きみは帰る場所,fhána feat. Gothic×Luck
43,僕を見つけて,fhána
44,MOON SIGNAL,スフィア
45,Music Power→!!!!,スフィア
46,Now loading...SKY!!,スフィア
47,LET・ME・DO!!,スフィア
48,CROSSING STORIES,アニサマ2019出演アーティスト
